Strategy,Symbol,Interval,Total Trades,Win Rate %,Profit Factor,Total PnL %,Sharpe Ratio,Max Drawdown %,Avg Trade Duration (min),Status,Error
momentum-rotation,LTCUSDT,8h,91,61.54,3.41,30.63,5.92,3.65,8012.31,success,
momentum-rotation,LTCUSDT,12h,94,39.36,0.82,-6.00,-1.13,17.32,9375.32,success,
momentum-rotation,LTCUSDT,1d,59,32.20,0.61,-11.93,-3.21,21.97,25383.05,success,
momentum-rotation,AAVEUSDT,4h,155,32.90,0.32,-25.30,-7.81,29.14,2697.29,success,
momentum-rotation,AAVEUSDT,6h,158,27.22,1.25,8.94,0.92,15.93,5468.35,success,
momentum-rotation,AAVEUSDT,8h,130,35.38,1.95,34.69,2.44,14.89,7425.23,success,
momentum-rotation,AAVEUSDT,12h,104,21.15,0.30,-23.42,-7.82,24.06,9505.38,success,
momentum-rotation,AAVEUSDT,1d,67,37.31,2.56,32.46,3.94,7.21,17731.34,success,
momentum-rotation,ETCUSDT,4h,133,34.59,0.47,-16.47,-5.12,20.52,2982.86,success,
momentum-rotation,ETCUSDT,6h,125,43.20,1.26,5.74,1.67,11.74,4757.76,success,
momentum-rotation,ETCUSDT,8h,104,28.85,2.17,24.93,3.68,8.36,9355.38,success,
momentum-rotation,ETCUSDT,12h,90,30.00,1.11,2.59,0.74,10.77,10320.00,success,
momentum-rotation,ETCUSDT,1d,54,25.93,1.02,0.07,0.11,14.31,16640.00,success,
momentum-rotation,BCHUSDT,4h,245,38.78,1.34,18.98,1.39,17.77,3655.84,success,
momentum-rotation,BCHUSDT,6h,204,35.78,1.54,23.19,2.35,14.28,4695.88,success,
momentum-rotation,BCHUSDT,8h,194,42.78,1.50,16.92,2.15,11.11,5881.24,success,
momentum-rotation,BCHUSDT,12h,151,51.66,0.83,-7.08,-0.66,15.28,10771.39,success,
momentum-rotation,BCHUSDT,1d,64,37.50,1.18,2.54,0.92,11.01,23557.50,success,
momentum-rotation,DOGEUSDT,4h,220,36.36,0.93,-5.15,-0.19,18.95,3328.36,success,
momentum-rotation,DOGEUSDT,6h,183,32.24,1.65,41.13,2.37,24.25,4801.97,success,
momentum-rotation,DOGEUSDT,8h,161,44.10,2.05,39.66,2.87,8.54,6484.47,success,
momentum-rotation,DOGEUSDT,12h,126,42.06,2.17,90.65,3.70,24.77,11411.43,success,
momentum-rotation,DOGEUSDT,1d,75,28.00,1.19,7.37,0.88,21.14,17760.00,success,
chande-momentum-crypto,BTCUSDT,4h,211,45.97,0.90,-5.32,-0.92,10.01,5352.80,success,
chande-momentum-crypto,BTCUSDT,6h,139,46.76,0.67,-12.31,-2.29,16.03,8259.28,success,
chande-momentum-crypto,BTCUSDT,8h,96,52.08,0.96,-1.64,-0.10,9.72,11125.00,success,
chande-momentum-crypto,BTCUSDT,12h,58,56.90,1.43,5.41,2.61,4.75,17900.69,success,
chande-momentum-crypto,BTCUSDT,1d,30,43.33,1.37,3.49,1.68,7.10,34080.00,success,
chande-momentum-crypto,ETHUSDT,4h,196,48.98,1.07,2.13,0.40,12.70,6577.96,success,
chande-momentum-crypto,ETHUSDT,6h,134,50.00,0.72,-12.44,-1.87,18.18,8508.36,success,
chande-momentum-crypto,ETHUSDT,8h,91,60.44,1.66,16.53,2.51,6.03,11134.95,success,
chande-momentum-crypto,ETHUSDT,12h,59,47.46,0.85,-4.16,-1.87,11.96,16181.69,success,
chande-momentum-crypto,ETHUSDT,1d,27,48.15,0.57,-9.84,-3.86,17.80,44853.33,success,
chande-momentum-crypto,SOLUSDT,4h,194,42.78,0.80,-12.65,-1.52,16.07,5485.36,success,
chande-momentum-crypto,SOLUSDT,6h,127,43.31,0.81,-10.65,-1.53,14.29,9833.39,success,
chande-momentum-crypto,SOLUSDT,8h,89,46.07,1.17,5.53,1.29,11.31,12372.13,success,
chande-momentum-crypto,SOLUSDT,12h,72,54.17,1.21,6.95,1.70,17.87,18510.00,success,
chande-momentum-crypto,SOLUSDT,1d,35,65.71,1.67,12.14,3.30,11.00,41636.57,success,
chande-momentum-crypto,BNBUSDT,4h,192,46.35,0.75,-13.59,-1.35,23.83,6958.75,success,
chande-momentum-crypto,BNBUSDT,6h,129,34.11,0.51,-22.30,-3.81,23.33,12669.77,success,
chande-momentum-crypto,BNBUSDT,8h,96,39.58,0.63,-12.28,-2.46,12.35,14665.00,success,
chande-momentum-crypto,BNBUSDT,12h,66,40.91,0.67,-8.22,-2.33,12.37,20105.45,success,
chande-momentum-crypto,BNBUSDT,1d,27,48.15,0.84,-1.94,-0.16,7.47,37333.33,success,
chande-momentum-crypto,DOTUSDT,4h,204,51.96,1.22,11.24,0.98,9.22,5815.29,success,
chande-momentum-crypto,DOTUSDT,6h,122,59.84,1.19,7.70,1.60,8.34,10307.21,success,
chande-momentum-crypto,DOTUSDT,8h,99,61.62,1.47,15.26,2.68,7.23,13168.48,success,
chande-momentum-crypto,DOTUSDT,12h,70,44.29,0.47,-20.82,-4.82,22.78,19316.57,success,
chande-momentum-crypto,DOTUSDT,1d,31,64.52,2.09,18.96,4.79,7.39,41434.84,success,
chande-momentum-crypto,SUIUSDT,4h,182,46.70,0.86,-10.45,-0.89,26.12,6742.42,success,
chande-momentum-crypto,SUIUSDT,6h,112,52.68,1.27,11.54,1.08,7.95,10186.07,success,
chande-momentum-crypto,SUIUSDT,8h,97,52.58,1.02,0.40,0.07,11.63,14152.58,success,
chande-momentum-crypto,SUIUSDT,12h,59,57.63,1.58,15.61,2.95,6.81,20770.17,success,
chande-momentum-crypto,SUIUSDT,1d,17,70.59,3.85,20.46,8.42,3.78,60480.00,success,
chande-momentum-crypto,XRPUSDT,4h,184,51.09,0.82,-10.34,-1.17,13.97,6650.87,success,
chande-momentum-crypto,XRPUSDT,6h,116,51.72,0.98,-1.50,0.11,13.92,11153.79,success,
chande-momentum-crypto,XRPUSDT,8h,90,52.22,0.80,-7.16,-1.22,13.21,15754.67,success,
chande-momentum-crypto,XRPUSDT,12h,59,64.41,1.49,10.72,2.30,7.40,23467.12,success,
