Strategy,Symbol,Interval,Total Trades,Win Rate %,Profit Factor,Total PnL %,Sharpe Ratio,Max Drawdown %,Avg Trade Duration (min),Status,Error
mfi-divergence,DOTUSDT,1d,16,68.75,2.88,14.80,6.98,5.70,51930.00,success,
mfi-divergence,SUIUSDT,4h,110,35.45,0.60,-21.21,-3.19,22.50,9669.82,success,
mfi-divergence,SUIUSDT,6h,58,44.83,0.84,-4.86,-0.98,9.54,13394.48,success,
mfi-divergence,SUIUSDT,8h,37,40.54,1.42,10.07,1.84,7.21,23792.43,success,
mfi-divergence,SUIUSDT,12h,34,52.94,1.91,11.52,4.10,5.11,22425.88,success,
mfi-divergence,SUIUSDT,1d,13,53.85,3.00,14.11,6.75,3.82,57267.69,success,
mfi-divergence,XRPUSDT,4h,108,39.81,0.65,-14.44,-2.73,15.36,9833.33,success,
mfi-divergence,XRPUSDT,6h,70,54.29,1.20,4.09,0.51,11.42,13700.57,success,
mfi-divergence,XRPUSDT,8h,54,37.04,0.46,-14.91,-4.74,16.04,18248.89,success,
mfi-divergence,XRPUSDT,12h,26,53.85,1.50,6.22,1.02,7.43,30793.85,success,
mfi-divergence,XRPUSDT,1d,13,69.23,5.27,7.80,9.00,1.53,69452.31,success,
mfi-divergence,ADAUSDT,4h,109,35.78,0.79,-9.35,-1.23,13.74,8888.81,success,
mfi-divergence,ADAUSDT,6h,81,48.15,1.51,13.23,2.43,8.62,11853.33,success,
mfi-divergence,ADAUSDT,8h,52,55.77,1.66,13.97,3.00,6.92,20621.54,success,
mfi-divergence,ADAUSDT,12h,26,38.46,0.88,-1.79,-0.77,4.28,47021.54,success,
mfi-divergence,ADAUSDT,1d,14,57.14,3.35,12.27,7.99,1.90,49474.29,success,
mfi-divergence,XLMUSDT,4h,112,56.25,1.68,19.89,3.67,6.31,8978.57,success,
mfi-divergence,XLMUSDT,6h,72,45.83,0.86,-4.43,-0.76,8.39,10415.00,success,
mfi-divergence,XLMUSDT,8h,57,45.61,1.01,-0.15,-0.60,13.31,26795.79,success,
mfi-divergence,XLMUSDT,12h,24,58.33,3.27,13.55,6.51,2.84,56310.00,success,
mfi-divergence,XLMUSDT,1d,13,61.54,1.98,6.96,5.03,4.04,89169.23,success,
mfi-divergence,XMRUSDT,4h,62,50.00,1.16,2.13,1.21,5.88,12212.90,success,
mfi-divergence,XMRUSDT,6h,46,41.30,0.72,-4.83,-1.32,10.02,14775.65,success,
mfi-divergence,XMRUSDT,8h,38,39.47,0.80,-2.89,-1.80,7.44,13098.95,success,
mfi-divergence,XMRUSDT,12h,31,51.61,1.33,3.16,1.27,3.41,19858.06,success,
mfi-divergence,XMRUSDT,1d,17,29.41,0.15,-8.98,-10.50,8.98,44809.41,success,
mfi-divergence,NEARUSDT,4h,112,42.86,1.03,0.54,-0.29,8.77,6908.57,success,
mfi-divergence,NEARUSDT,6h,67,35.82,0.55,-17.26,-3.68,21.09,13599.40,success,
mfi-divergence,NEARUSDT,8h,57,38.60,0.48,-20.21,-4.75,22.25,16867.37,success,
mfi-divergence,NEARUSDT,12h,28,42.86,0.42,-14.07,-4.81,14.07,33068.57,success,
mfi-divergence,NEARUSDT,1d,16,68.75,2.23,11.66,5.68,7.23,56340.00,success,
mfi-divergence,UNIUSDT,4h,86,51.16,2.06,32.37,4.16,5.62,9627.91,success,
mfi-divergence,UNIUSDT,6h,62,51.61,1.11,3.11,0.67,9.85,13552.26,success,
mfi-divergence,UNIUSDT,8h,45,44.44,0.91,-2.18,-0.75,10.88,16629.33,success,
mfi-divergence,UNIUSDT,12h,28,50.00,0.99,-0.39,0.02,10.94,32348.57,success,
mfi-divergence,UNIUSDT,1d,13,23.08,0.43,-8.25,-3.96,12.75,61033.85,success,
mfi-divergence,HBARUSDT,4h,124,39.52,0.61,-18.27,-2.90,21.55,6567.10,success,
mfi-divergence,HBARUSDT,6h,90,47.78,0.71,-14.56,-2.24,21.09,13836.00,success,
mfi-divergence,HBARUSDT,8h,48,37.50,0.92,-2.42,-0.72,8.97,14370.00,success,
mfi-divergence,HBARUSDT,12h,28,39.29,0.90,-1.59,-0.60,7.41,25740.00,success,
mfi-divergence,HBARUSDT,1d,14,50.00,0.64,-4.48,-2.94,7.25,30754.29,success,
mfi-divergence,TRXUSDT,4h,107,51.40,1.06,0.47,0.15,9.16,8530.09,success,
mfi-divergence,TRXUSDT,6h,76,44.74,1.14,1.32,0.84,3.72,8028.95,success,
mfi-divergence,TRXUSDT,8h,44,40.91,0.81,-2.43,-1.13,5.88,11509.09,success,
mfi-divergence,TRXUSDT,12h,32,50.00,2.45,9.66,5.13,2.07,26707.50,success,
mfi-divergence,TRXUSDT,1d,17,29.41,0.58,-2.61,-3.78,3.38,38541.18,success,
mfi-divergence,ZECUSDT,4h,100,38.00,0.76,-11.08,-1.54,17.58,7468.80,success,
mfi-divergence,ZECUSDT,6h,77,45.45,1.08,2.35,0.29,8.94,9869.61,success,
mfi-divergence,ZECUSDT,8h,46,56.52,1.30,7.73,2.00,7.05,21829.57,success,
mfi-divergence,ZECUSDT,12h,31,38.71,0.76,-5.18,-1.77,11.77,25873.55,success,
mfi-divergence,ZECUSDT,1d,18,50.00,1.31,4.99,2.14,12.13,48800.00,success,
mfi-divergence,LTCUSDT,4h,104,43.27,0.68,-11.10,-2.08,11.35,11088.46,success,
mfi-divergence,LTCUSDT,6h,66,34.85,0.59,-10.73,-2.43,12.38,14263.64,success,
mfi-divergence,LTCUSDT,8h,45,51.11,0.98,-0.55,0.02,4.95,28458.67,success,
mfi-divergence,LTCUSDT,12h,16,56.25,1.93,6.67,4.79,2.78,53775.00,success,
mfi-divergence,LTCUSDT,1d,8,50.00,3.93,5.26,8.29,1.31,57780.00,success,
mfi-divergence,AAVEUSDT,4h,113,40.71,0.67,-19.10,-2.64,22.29,8302.30,success,
mfi-divergence,AAVEUSDT,6h,66,31.82,0.47,-18.74,-5.09,21.77,11252.73,success,
mfi-divergence,AAVEUSDT,8h,51,50.98,1.53,11.42,2.74,6.25,14616.47,success,
mfi-divergence,AAVEUSDT,12h,27,48.15,1.06,0.72,0.42,5.28,32213.33,success,
mfi-divergence,AAVEUSDT,1d,12,33.33,0.24,-11.15,-7.40,12.08,30480.00,success,
mfi-divergence,ETCUSDT,4h,103,51.46,1.48,11.52,1.84,5.19,8486.21,success,
mfi-divergence,ETCUSDT,6h,67,44.78,0.89,-2.87,-1.16,6.80,11278.21,success,
mfi-divergence,ETCUSDT,8h,41,41.46,0.55,-10.79,-3.83,17.47,29642.93,success,
mfi-divergence,ETCUSDT,12h,20,50.00,0.81,-2.04,-1.48,4.62,28764.00,success,
mfi-divergence,ETCUSDT,1d,8,50.00,3.19,5.56,6.32,2.27,64980.00,success,
mfi-divergence,BCHUSDT,4h,101,48.51,1.50,13.27,2.21,5.03,9274.46,success,
mfi-divergence,BCHUSDT,6h,60,43.33,0.70,-7.64,-2.12,12.76,11928.00,success,
mfi-divergence,BCHUSDT,8h,46,47.83,0.65,-7.82,-2.43,13.33,18542.61,success,
mfi-divergence,BCHUSDT,12h,26,42.31,0.64,-6.47,-2.61,12.09,29409.23,success,
mfi-divergence,BCHUSDT,1d,10,40.00,1.11,1.11,0.83,10.23,92160.00,success,
mfi-divergence,DOGEUSDT,4h,101,49.50,1.31,8.30,1.75,8.63,6453.86,success,
mfi-divergence,DOGEUSDT,6h,64,39.06,0.63,-16.04,-2.44,17.57,13095.00,success,
mfi-divergence,DOGEUSDT,8h,58,50.00,1.02,0.30,0.12,9.92,14383.45,success,
mfi-divergence,DOGEUSDT,12h,35,54.29,1.26,4.40,1.53,5.77,33387.43,success,
mfi-divergence,DOGEUSDT,1d,11,45.45,0.80,-1.97,-1.21,9.34,39927.27,success,
chaikin-money-flow,BTCUSDT,4h,131,41.22,0.91,-2.20,-1.04,4.78,2660.15,success,
chaikin-money-flow,BTCUSDT,6h,84,28.57,1.03,-0.24,-0.24,4.10,4525.71,success,
chaikin-money-flow,BTCUSDT,8h,56,41.07,0.95,-0.77,-0.47,3.49,4517.14,success,
chaikin-money-flow,BTCUSDT,12h,39,38.46,2.37,7.84,2.64,2.50,10338.46,success,
chaikin-money-flow,BTCUSDT,1d,25,32.00,1.60,3.20,1.14,3.99,19353.60,success,
chaikin-money-flow,ETHUSDT,4h,126,46.83,1.47,5.44,2.26,2.09,3222.86,success,
chaikin-money-flow,ETHUSDT,6h,90,50.00,1.20,2.07,0.81,5.32,6276.00,success,
chaikin-money-flow,ETHUSDT,8h,74,28.38,1.25,3.15,0.15,8.54,5649.73,success,
chaikin-money-flow,ETHUSDT,12h,52,42.31,2.20,17.90,2.90,9.51,13984.62,success,
chaikin-money-flow,ETHUSDT,1d,30,30.00,0.73,-3.64,-2.14,11.05,16656.00,success,
chaikin-money-flow,SOLUSDT,4h,141,34.04,0.58,-11.97,-2.62,13.58,2253.62,success,
chaikin-money-flow,SOLUSDT,6h,108,29.63,0.72,-8.15,-2.17,13.91,4680.00,success,
chaikin-money-flow,SOLUSDT,8h,72,43.06,1.23,3.08,0.64,5.41,6386.67,success,
chaikin-money-flow,SOLUSDT,12h,52,30.77,1.08,1.22,0.38,7.13,9650.77,success,
chaikin-money-flow,SOLUSDT,1d,27,48.15,2.75,14.65,4.31,3.36,22026.67,success,
chaikin-money-flow,BNBUSDT,4h,144,42.36,1.39,5.57,1.64,5.28,3550.00,success,
chaikin-money-flow,BNBUSDT,6h,107,32.71,0.90,-2.70,-0.41,7.55,5585.05,success,
chaikin-money-flow,BNBUSDT,8h,80,52.50,1.07,0.08,0.04,2.66,9288.00,success,
chaikin-money-flow,BNBUSDT,12h,51,33.33,0.86,-1.51,-1.65,4.70,12155.29,success,
chaikin-money-flow,BNBUSDT,1d,35,37.14,0.46,-5.12,-6.35,7.02,16416.00,success,
chaikin-money-flow,DOTUSDT,4h,138,40.58,1.04,0.01,-0.01,8.21,3492.17,success,
chaikin-money-flow,DOTUSDT,6h,89,32.58,0.99,-0.82,0.04,7.64,4012.58,success,
chaikin-money-flow,DOTUSDT,8h,75,49.33,1.41,4.77,1.92,4.63,8601.60,success,
chaikin-money-flow,DOTUSDT,12h,38,42.11,1.06,0.33,-0.35,5.95,10193.68,success,
chaikin-money-flow,DOTUSDT,1d,31,25.81,1.81,6.49,2.49,4.42,15468.39,success,
chaikin-money-flow,SUIUSDT,4h,127,31.50,1.01,-0.61,0.26,7.23,2834.65,success,
chaikin-money-flow,SUIUSDT,6h,87,41.38,1.15,2.77,-0.02,7.39,4001.38,success,
chaikin-money-flow,SUIUSDT,8h,60,41.67,0.92,-1.70,-0.60,7.10,4464.00,success,
chaikin-money-flow,SUIUSDT,12h,38,42.11,3.07,29.06,5.18,6.02,12770.53,success,
chaikin-money-flow,SUIUSDT,1d,22,22.73,0.94,-0.71,-0.19,6.50,16887.27,success,
chaikin-money-flow,XRPUSDT,4h,150,39.33,0.90,-3.34,-0.43,6.95,3369.60,success,
chaikin-money-flow,XRPUSDT,6h,118,33.90,0.72,-7.11,-2.03,9.79,5064.41,success,
chaikin-money-flow,XRPUSDT,8h,67,34.33,0.75,-4.01,-1.68,5.78,4742.69,success,
chaikin-money-flow,XRPUSDT,12h,51,41.18,1.36,3.54,0.95,6.41,11336.47,success,
chaikin-money-flow,XRPUSDT,1d,24,54.17,3.17,12.64,6.52,1.84,23640.00,success,
chaikin-money-flow,ADAUSDT,4h,120,40.00,0.65,-9.14,-2.78,12.79,2928.00,success,
chaikin-money-flow,ADAUSDT,6h,99,31.31,0.35,-14.82,-6.32,16.51,4127.27,success,
chaikin-money-flow,ADAUSDT,8h,64,39.06,1.13,1.03,0.35,4.13,6322.50,success,
chaikin-money-flow,ADAUSDT,12h,59,25.42,0.20,-18.76,-9.30,18.76,6004.07,success,
chaikin-money-flow,ADAUSDT,1d,22,36.36,1.59,3.29,2.07,1.75,9294.55,success,
chaikin-money-flow,XLMUSDT,4h,145,37.24,0.86,-4.72,-0.61,12.00,2808.83,success,
chaikin-money-flow,XLMUSDT,6h,92,32.61,0.48,-12.59,-3.82,14.99,4781.74,success,
chaikin-money-flow,XLMUSDT,8h,61,44.26,0.80,-2.30,-1.21,2.93,5523.93,success,
chaikin-money-flow,XLMUSDT,12h,57,28.07,0.42,-10.88,-5.25,11.02,8703.16,success,
chaikin-money-flow,XLMUSDT,1d,37,32.43,1.66,6.01,2.15,3.07,15567.57,success,
chaikin-money-flow,XMRUSDT,4h,114,35.96,0.89,-2.54,-0.91,7.74,2951.58,success,
chaikin-money-flow,XMRUSDT,6h,77,41.56,1.50,5.20,0.99,4.89,5568.31,success,
chaikin-money-flow,XMRUSDT,8h,63,39.68,2.29,9.59,2.73,2.58,4784.76,success,
chaikin-money-flow,XMRUSDT,12h,41,56.10,0.85,-1.60,-1.38,3.09,11116.10,success,
chaikin-money-flow,XMRUSDT,1d,18,61.11,6.85,4.36,10.00,0.31,16800.00,success,
chaikin-money-flow,NEARUSDT,4h,118,45.76,1.52,11.19,2.00,5.38,2747.80,success,
chaikin-money-flow,NEARUSDT,6h,74,36.49,0.63,-7.79,-3.77,9.27,3152.43,success,
chaikin-money-flow,NEARUSDT,8h,63,36.51,1.24,2.78,1.12,8.89,4259.05,success,
chaikin-money-flow,NEARUSDT,12h,41,43.90,1.01,-0.16,-0.03,5.54,7884.88,success,
chaikin-money-flow,NEARUSDT,1d,29,41.38,1.86,8.16,2.72,4.94,12413.79,success,
chaikin-money-flow,UNIUSDT,4h,124,44.35,1.12,2.05,0.49,5.05,2597.42,success,
chaikin-money-flow,UNIUSDT,6h,80,42.50,1.12,1.47,0.40,5.65,4288.50,success,
chaikin-money-flow,UNIUSDT,8h,68,48.53,2.24,14.13,3.48,3.37,5407.06,success,
chaikin-money-flow,UNIUSDT,12h,40,30.00,0.46,-6.64,-4.02,10.15,8046.00,success,
chaikin-money-flow,UNIUSDT,1d,28,42.86,2.69,13.37,3.96,4.66,11982.86,success,
chaikin-money-flow,HBARUSDT,4h,154,34.42,1.42,11.39,1.77,10.00,3277.40,success,
chaikin-money-flow,HBARUSDT,6h,93,31.18,0.66,-8.23,-1.87,9.45,3600.00,success,
chaikin-money-flow,HBARUSDT,8h,56,37.50,1.22,2.06,0.96,5.59,5391.43,success,
chaikin-money-flow,HBARUSDT,12h,51,29.41,0.43,-9.86,-5.75,10.53,5872.94,success,
chaikin-money-flow,HBARUSDT,1d,24,20.83,1.41,3.59,1.74,3.81,11700.00,success,
chaikin-money-flow,TRXUSDT,4h,134,35.82,0.76,-4.91,-1.88,6.02,4044.18,success,
chaikin-money-flow,TRXUSDT,6h,82,45.12,1.98,6.89,3.12,2.11,7318.54,success,
chaikin-money-flow,TRXUSDT,8h,66,53.03,3.01,25.10,2.99,4.67,7083.64,success,
chaikin-money-flow,TRXUSDT,12h,50,58.00,2.78,12.33,3.20,2.07,11044.80,success,
chaikin-money-flow,TRXUSDT,1d,26,30.77,0.48,-5.45,-3.47,6.82,19163.08,success,
chaikin-money-flow,ZECUSDT,4h,127,40.16,1.29,6.53,1.06,3.97,3235.28,success,
chaikin-money-flow,ZECUSDT,6h,72,40.28,1.06,0.74,0.37,9.60,5205.00,success,
chaikin-money-flow,ZECUSDT,8h,73,49.32,1.36,5.91,1.41,4.63,7101.37,success,
chaikin-money-flow,ZECUSDT,12h,40,45.00,0.78,-3.32,-1.75,7.91,11934.00,success,
chaikin-money-flow,ZECUSDT,1d,26,30.77,1.34,5.11,1.49,9.28,21156.92,success,
chaikin-money-flow,LTCUSDT,4h,129,41.86,0.71,-8.75,-1.75,12.68,5179.53,success,
chaikin-money-flow,LTCUSDT,6h,94,36.17,0.69,-7.21,-2.07,12.50,5380.85,success,
chaikin-money-flow,LTCUSDT,8h,75,50.67,2.17,13.78,4.23,2.26,8819.20,success,
chaikin-money-flow,LTCUSDT,12h,44,61.36,2.01,6.81,3.86,2.69,9981.82,success,
chaikin-money-flow,LTCUSDT,1d,32,34.38,0.37,-8.14,-4.96,9.55,20745.00,success,
chaikin-money-flow,AAVEUSDT,4h,107,39.25,1.32,5.11,1.20,3.60,2314.77,success,
chaikin-money-flow,AAVEUSDT,6h,81,39.51,1.48,8.08,2.03,4.98,4337.78,success,
chaikin-money-flow,AAVEUSDT,8h,45,62.22,2.83,12.45,5.45,1.85,7317.33,success,
chaikin-money-flow,AAVEUSDT,12h,42,28.57,0.82,-2.57,-0.70,6.25,8297.14,success,
chaikin-money-flow,AAVEUSDT,1d,26,38.46,1.23,1.88,1.06,3.99,19716.92,success,
chaikin-money-flow,ETCUSDT,4h,127,40.16,1.00,-0.86,-0.25,4.25,3435.59,success,
chaikin-money-flow,ETCUSDT,6h,84,50.00,1.47,6.81,2.82,7.77,5738.57,success,
chaikin-money-flow,ETCUSDT,8h,77,41.56,0.89,-2.02,-1.32,4.88,6196.36,success,
chaikin-money-flow,ETCUSDT,12h,50,36.00,0.77,-2.83,-1.71,7.68,10915.20,success,
chaikin-money-flow,ETCUSDT,1d,45,37.78,1.22,2.22,0.93,4.46,17504.00,success,
chaikin-money-flow,BCHUSDT,4h,122,33.61,0.97,-1.71,0.05,8.78,3603.93,success,
chaikin-money-flow,BCHUSDT,6h,94,37.23,1.67,12.23,1.97,9.31,5537.87,success,
chaikin-money-flow,BCHUSDT,8h,73,53.42,2.82,17.96,4.56,3.04,7285.48,success,
chaikin-money-flow,BCHUSDT,12h,47,25.53,0.59,-6.56,-2.87,11.11,8257.02,success,
chaikin-money-flow,BCHUSDT,1d,23,34.78,2.65,8.87,3.27,4.18,13711.30,success,
chaikin-money-flow,DOGEUSDT,4h,166,45.78,1.09,2.33,0.07,11.20,3826.99,success,
chaikin-money-flow,DOGEUSDT,6h,115,39.13,0.79,-5.90,-1.85,9.46,3856.70,success,
chaikin-money-flow,DOGEUSDT,8h,75,40.00,1.06,0.80,0.23,10.20,5817.60,success,
chaikin-money-flow,DOGEUSDT,12h,51,49.02,1.71,10.73,2.63,5.71,10136.47,success,
chaikin-money-flow,DOGEUSDT,1d,31,38.71,1.61,5.03,2.40,2.41,13378.06,success,
keltner-breakout-optimized,BTCUSDT,4h,10,10.00,0.24,-4.79,-8.81,4.79,89184.00,success,
keltner-breakout-optimized,BTCUSDT,6h,6,16.67,0.34,-2.99,-6.10,4.49,128520.00,success,
keltner-breakout-optimized,BTCUSDT,8h,9,22.22,0.24,-7.41,-9.08,9.69,130773.33,success,
keltner-breakout-optimized,BTCUSDT,12h,4,25.00,0.34,-3.23,-7.10,4.07,62820.00,success,
keltner-breakout-optimized,BTCUSDT,1d,4,0.00,0.00,-8.90,-35.20,8.90,131400.00,success,
keltner-breakout-optimized,ETHUSDT,4h,12,41.67,0.91,-1.13,-0.59,4.05,45080.00,success,
keltner-breakout-optimized,ETHUSDT,6h,15,33.33,0.71,-5.42,-2.84,9.39,93552.00,success,
keltner-breakout-optimized,ETHUSDT,8h,13,46.15,0.71,-5.50,-3.34,9.47,130153.85,success,
keltner-breakout-optimized,ETHUSDT,12h,12,41.67,0.48,-10.96,-5.85,15.41,154200.00,success,
keltner-breakout-optimized,ETHUSDT,1d,3,66.67,0.80,-0.43,-1.30,2.03,101760.00,success,
keltner-breakout-optimized,SOLUSDT,4h,10,30.00,0.59,-5.36,-2.76,10.12,92928.00,success,
keltner-breakout-optimized,SOLUSDT,6h,7,42.86,0.89,-0.93,-0.02,7.77,72102.86,success,
keltner-breakout-optimized,SOLUSDT,8h,10,60.00,1.07,0.77,0.86,6.19,87360.00,success,
keltner-breakout-optimized,SOLUSDT,12h,7,57.14,0.66,-3.53,-2.43,7.35,118080.00,success,
keltner-breakout-optimized,SOLUSDT,1d,3,66.67,0.89,-0.35,-0.59,3.04,140160.00,success,
keltner-breakout-optimized,BNBUSDT,4h,7,28.57,0.49,-3.37,-3.96,3.66,92125.71,success,
keltner-breakout-optimized,BNBUSDT,6h,3,33.33,0.23,-3.46,-6.72,3.46,61080.00,success,
keltner-breakout-optimized,BNBUSDT,8h,3,0.00,0.00,-5.41,-28.47,5.41,107520.00,success,
keltner-breakout-optimized,BNBUSDT,12h,7,28.57,0.84,-1.83,-3.03,10.09,149348.57,success,
keltner-breakout-optimized,BNBUSDT,1d,2,100.00,Infinity,17.38,109.28,0.00,220320.00,success,
keltner-breakout-optimized,DOTUSDT,4h,10,50.00,1.50,5.28,3.47,8.15,199416.00,success,
keltner-breakout-optimized,DOTUSDT,6h,10,80.00,8.60,27.12,14.63,2.82,377388.00,success,
keltner-breakout-optimized,DOTUSDT,8h,9,77.78,9.92,19.76,14.44,1.86,335786.67,success,
keltner-breakout-optimized,DOTUSDT,12h,4,50.00,1.73,1.64,3.02,2.27,205560.00,success,
keltner-breakout-optimized,DOTUSDT,1d,2,100.00,Infinity,1.88,13.63,0.00,77760.00,success,
keltner-breakout-optimized,SUIUSDT,4h,7,71.43,2.84,14.61,6.31,6.96,64491.43,success,
keltner-breakout-optimized,SUIUSDT,6h,6,66.67,2.24,5.29,4.58,4.08,159180.00,success,
keltner-breakout-optimized,SUIUSDT,8h,4,75.00,1.52,2.01,2.68,3.76,71880.00,success,
keltner-breakout-optimized,SUIUSDT,12h,7,85.71,3.34,6.26,7.71,2.53,67062.86,success,
keltner-breakout-optimized,SUIUSDT,1d,6,50.00,0.71,-1.48,-1.57,4.53,54720.00,success,
keltner-breakout-optimized,XRPUSDT,4h,21,38.10,1.36,4.50,1.16,6.52,74777.14,success,
keltner-breakout-optimized,XRPUSDT,6h,19,42.11,2.50,20.50,5.09,6.46,79768.42,success,
keltner-breakout-optimized,XRPUSDT,8h,17,17.65,0.16,-21.77,-10.37,24.32,168649.41,success,
keltner-breakout-optimized,XRPUSDT,12h,8,62.50,1.45,2.14,2.05,3.22,328410.00,success,
keltner-breakout-optimized,XRPUSDT,1d,5,60.00,6.58,6.75,6.62,1.14,71712.00,success,
keltner-breakout-optimized,ADAUSDT,4h,15,33.33,0.82,-3.61,-1.29,15.22,131008.00,success,
keltner-breakout-optimized,ADAUSDT,6h,8,50.00,3.08,9.01,7.09,2.47,129690.00,success,
keltner-breakout-optimized,ADAUSDT,8h,11,45.45,0.66,-6.45,-2.02,14.47,166472.73,success,
keltner-breakout-optimized,ADAUSDT,12h,9,44.44,0.72,-3.81,-1.77,13.45,235120.00,success,
keltner-breakout-optimized,ADAUSDT,1d,2,50.00,0.81,-0.57,-1.03,2.93,134640.00,success,
keltner-breakout-optimized,XLMUSDT,4h,15,53.33,1.70,8.71,2.73,7.26,117360.00,success,
keltner-breakout-optimized,XLMUSDT,6h,16,31.25,0.31,-16.70,-6.90,20.61,210712.50,success,
keltner-breakout-optimized,XLMUSDT,8h,12,33.33,0.16,-17.35,-11.05,20.56,166480.00,success,
keltner-breakout-optimized,XLMUSDT,12h,6,33.33,0.19,-10.20,-8.62,12.60,186000.00,success,
keltner-breakout-optimized,XLMUSDT,1d,5,20.00,0.34,-5.81,-5.40,8.42,127872.00,success,
keltner-breakout-optimized,XMRUSDT,4h,9,11.11,0.21,-10.61,-13.58,10.61,75760.00,success,
keltner-breakout-optimized,XMRUSDT,6h,5,0.00,0.00,-10.23,-73.63,10.23,57240.00,success,
keltner-breakout-optimized,XMRUSDT,8h,5,20.00,0.47,-5.28,-3.65,9.99,85152.00,success,
keltner-breakout-optimized,XMRUSDT,12h,4,0.00,0.00,-8.63,-69.96,8.63,172980.00,success,
keltner-breakout-optimized,XMRUSDT,1d,2,50.00,4412.98,6.19,11.20,0.01,120240.00,success,
keltner-breakout-optimized,NEARUSDT,4h,14,28.57,0.59,-9.17,-1.79,21.00,135205.71,success,
keltner-breakout-optimized,NEARUSDT,6h,14,57.14,2.26,16.40,6.19,7.43,320862.86,success,
keltner-breakout-optimized,NEARUSDT,8h,9,66.67,3.14,14.24,8.15,4.52,343573.33,success,
keltner-breakout-optimized,NEARUSDT,12h,2,50.00,1.48,0.66,2.24,1.38,258480.00,success,
keltner-breakout-optimized,NEARUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
keltner-breakout-optimized,UNIUSDT,4h,14,28.57,0.27,-12.79,-6.90,13.40,62057.14,success,
keltner-breakout-optimized,UNIUSDT,6h,16,56.25,1.03,0.55,0.20,12.28,146520.00,success,
keltner-breakout-optimized,UNIUSDT,8h,15,53.33,0.74,-6.63,-1.93,11.20,133664.00,success,
keltner-breakout-optimized,UNIUSDT,12h,4,25.00,0.35,-3.73,-5.44,4.44,100980.00,success,
keltner-breakout-optimized,UNIUSDT,1d,2,50.00,0.01,-6.81,-10.98,6.88,178560.00,success,
keltner-breakout-optimized,HBARUSDT,4h,14,50.00,1.07,0.87,-0.07,8.20,66857.14,success,
keltner-breakout-optimized,HBARUSDT,6h,11,18.18,0.77,-3.22,-0.95,8.75,102010.91,success,
keltner-breakout-optimized,HBARUSDT,8h,5,20.00,0.93,-0.61,-0.15,7.65,151680.00,success,
keltner-breakout-optimized,HBARUSDT,12h,3,66.67,1.06,0.08,0.34,1.78,92400.00,success,
keltner-breakout-optimized,HBARUSDT,1d,5,60.00,1.47,3.30,2.89,6.52,98208.00,success,
keltner-breakout-optimized,TRXUSDT,4h,22,40.91,0.73,-3.69,-2.06,12.06,87218.18,success,
keltner-breakout-optimized,TRXUSDT,6h,19,36.84,0.37,-11.76,-7.03,14.42,107658.95,success,
keltner-breakout-optimized,TRXUSDT,8h,14,42.86,0.27,-12.73,-8.98,15.62,140502.86,success,
keltner-breakout-optimized,TRXUSDT,12h,5,100.00,Infinity,7.45,16.27,0.00,158832.00,success,
keltner-breakout-optimized,TRXUSDT,1d,4,75.00,0.41,-1.77,-3.78,2.97,147600.00,success,
keltner-breakout-optimized,ZECUSDT,4h,9,44.44,0.87,-1.27,-2.25,7.33,83973.33,success,
keltner-breakout-optimized,ZECUSDT,6h,5,0.00,0.00,-6.45,-15.00,6.45,75168.00,success,
keltner-breakout-optimized,ZECUSDT,8h,4,25.00,0.02,-7.72,-13.07,7.90,148080.00,success,
keltner-breakout-optimized,ZECUSDT,12h,1,0.00,0.00,-0.26,0.00,0.26,8640.00,success,
keltner-breakout-optimized,ZECUSDT,1d,3,66.67,12476.79,18.46,15.16,0.01,170880.00,success,
keltner-breakout-optimized,LTCUSDT,4h,13,30.77,0.35,-9.63,-7.13,10.08,110270.77,success,
keltner-breakout-optimized,LTCUSDT,6h,14,35.71,0.48,-9.25,-5.29,11.61,124354.29,success,
keltner-breakout-optimized,LTCUSDT,8h,8,75.00,3.10,6.91,9.32,3.13,251700.00,success,
keltner-breakout-optimized,LTCUSDT,12h,3,66.67,1.50,1.12,2.66,2.25,408240.00,success,
keltner-breakout-optimized,LTCUSDT,1d,3,0.00,0.00,-8.03,-423.19,8.03,222240.00,success,
keltner-breakout-optimized,AAVEUSDT,4h,11,45.45,0.73,-4.25,-1.94,10.06,93381.82,success,
keltner-breakout-optimized,AAVEUSDT,6h,9,33.33,0.67,-3.29,-2.06,9.54,152200.00,success,
keltner-breakout-optimized,AAVEUSDT,8h,7,28.57,0.36,-4.98,-4.78,7.32,105051.43,success,
keltner-breakout-optimized,AAVEUSDT,12h,8,37.50,0.42,-4.74,-4.79,6.33,160110.00,success,
keltner-breakout-optimized,AAVEUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
keltner-breakout-optimized,ETCUSDT,4h,17,35.29,0.80,-3.33,-0.35,9.02,171924.71,success,
keltner-breakout-optimized,ETCUSDT,6h,9,44.44,1.03,0.19,1.58,4.26,251760.00,success,
keltner-breakout-optimized,ETCUSDT,8h,10,60.00,1.20,2.06,2.85,7.60,288624.00,success,
keltner-breakout-optimized,ETCUSDT,12h,4,25.00,0.29,-5.46,-8.39,5.46,180360.00,success,
keltner-breakout-optimized,ETCUSDT,1d,2,50.00,0.19,-2.29,-7.57,2.83,135360.00,success,
