strategy,symbol,interval,total_trades,win_rate,profit_factor,total_pnl_percent,max_drawdown_percent,sharpe_ratio,status
awesome-oscillator-crypto,ETHUSDT,1w,1,100.00,Infinity,1.40,0.00,0,completed
awesome-oscillator-crypto,SOLUSDT,1h,180,38.89,0.50,-22.22,23.26,0,completed
awesome-oscillator-crypto,SOLUSDT,4h,55,49.09,0.74,-5.89,6.15,0,completed
awesome-oscillator-crypto,SOLUSDT,1d,19,57.89,0.97,-1.01,4.39,0,completed
awesome-oscillator-crypto,SOLUSDT,1w,0,0,0,0,0,0,no_trades
awesome-oscillator-crypto,XRPUSDT,1h,192,41.67,0.62,-17.12,17.73,0,completed
awesome-oscillator-crypto,XRPUSDT,4h,65,47.69,0.80,-5.90,11.66,0,completed
awesome-oscillator-crypto,XRPUSDT,1d,10,50.00,0.56,-2.62,4.83,0,completed
awesome-oscillator-crypto,XRPUSDT,1w,2,0.00,0.00,-22.56,22.56,0,completed
bear-trap,BTCUSDT,1h,410,41.46,0.55,-35.01,35.08,0,completed
bear-trap,BTCUSDT,4h,112,42.86,0.76,-10.27,10.27,0,completed
bear-trap,BTCUSDT,1d,33,63.64,0.75,-4.32,5.64,0,completed
bear-trap,BTCUSDT,1w,9,100.00,Infinity,9.96,0.00,0,completed
bear-trap,ETHUSDT,1h,394,37.31,0.48,-40.33,40.33,0,completed
bear-trap,ETHUSDT,4h,111,53.15,0.97,-5.98,8.31,0,completed
bear-trap,ETHUSDT,1d,23,52.17,0.78,-3.77,6.66,0,completed
bear-trap,ETHUSDT,1w,7,57.14,0.91,-0.58,2.89,0,completed
bear-trap,SOLUSDT,1h,389,44.73,0.75,-30.75,32.54,0,completed
bear-trap,SOLUSDT,4h,118,45.76,0.75,-14.05,14.59,0,completed
bear-trap,SOLUSDT,1d,30,60.00,0.72,-6.60,9.01,0,completed
bear-trap,SOLUSDT,1w,3,100.00,Infinity,8.57,0.00,0,completed
bear-trap,XRPUSDT,1h,404,43.56,0.57,-38.80,38.80,0,completed
bear-trap,XRPUSDT,4h,141,46.10,0.52,-21.11,21.11,0,completed
bear-trap,XRPUSDT,1d,26,65.38,0.86,-2.58,5.96,0,completed
bear-trap,XRPUSDT,1w,7,28.57,0.19,-8.75,8.75,0,completed
bitcoin-macd-momentum,BTCUSDT,1h,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,BTCUSDT,4h,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,BTCUSDT,1d,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,BTCUSDT,1w,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,ETHUSDT,1h,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,ETHUSDT,4h,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,ETHUSDT,1d,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,ETHUSDT,1w,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,SOLUSDT,1h,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,SOLUSDT,4h,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,SOLUSDT,1d,0,0,0,0,0,0,no_trades
